keyword,Data Analyst Entry level,Data Analyst Senior,Data Analyst Associate,Data Scientist Entry level,Data Scientist Senior,Data Scientist Associate,Consultant Entry level,Consultant Senior,Consultant Associate,Data Engineer Entry level,Data Engineer Senior,Data Engineer Associate,Machine Learning Engineer Entry level,Machine Learning Engineer Senior,Machine Learning Engineer Associate,Big Data Developer Entry level,Big Data Developer Senior,Big Data Developer Associate
adobe,56,17,32,13,13,13,0,0,0,0,2,0,0,0,0,2,0,0
aerobotics,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aeronautics,3,1,0,3,0,0,0,0,1,2,0,0,1,0,1,0,0,0
airflow,16,2,7,25,16,9,0,0,3,18,8,20,17,2,0,2,3,3
alicloud,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
anaconda,0,2,2,6,7,0,0,0,0,1,1,0,0,0,0,0,0,0
android,12,1,4,13,6,6,0,0,0,4,2,0,0,0,1,1,0,1
angularjs,1,0,0,19,2,3,0,0,0,6,1,2,0,3,3,2,2,2
applied science,7,0,3,15,7,3,0,0,1,0,0,0,0,1,4,0,0,0
arcpy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
asana,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atlassian,3,9,0,7,5,0,0,0,0,0,0,1,0,0,0,0,0,0
aws,128,39,83,382,173,145,2,5,16,97,59,75,19,7,11,19,21,8
azure,48,33,33,217,75,83,1,5,13,74,56,51,17,4,5,9,9,4
bayesian,5,5,6,84,41,84,0,1,1,0,0,1,4,3,3,0,0,0
beautifulsoup,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
bigml,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bigquery,53,14,22,28,15,17,0,0,0,16,4,10,15,2,1,3,0,1
biochemistry,0,0,0,8,2,19,0,0,0,0,0,0,0,0,0,0,0,0
bioengineering,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
biology,6,0,3,34,19,38,0,1,1,3,0,1,1,2,0,0,0,0
biomathematics,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
biomedical,4,0,5,32,9,7,0,1,0,4,0,0,1,2,0,0,0,0
biometrics,0,0,1,6,5,3,0,0,1,0,0,0,0,0,0,0,0,0
biopharmaceuticals,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bioscience,2,0,0,1,1,11,0,0,0,0,0,0,0,0,4,0,0,0
casperjs,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
cassandra,7,9,6,88,39,26,4,11,5,46,25,28,1,2,3,10,10,4
catboost,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbinsights,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chartjs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
circleci,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
clojure,0,0,0,7,2,2,0,0,0,2,0,0,0,0,0,1,1,0
cnn,4,0,0,54,64,38,0,0,0,1,0,0,8,3,3,0,0,0
computer science,470,118,261,1107,445,375,26,37,36,165,90,79,64,33,36,57,17,12
computer vision,8,4,1,93,61,34,5,1,3,19,4,3,20,15,6,1,2,0
docker,15,5,6,139,29,34,2,1,3,27,19,31,9,5,8,14,6,7
docmorris,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doctolib,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dod,5,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dplyr,1,0,0,11,0,1,0,5,0,0,0,0,0,0,0,0,0,0
dragons,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dspark,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
dynamodb,1,1,4,8,6,3,0,2,0,5,2,5,0,0,1,1,1,1
econometrics,45,16,20,158,65,37,8,12,8,2,2,0,3,5,4,5,0,1
excel,1102,247,549,960,393,373,36,27,46,79,62,79,43,20,21,38,33,20
fastai,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
flamingo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flask,3,0,2,25,6,12,1,0,1,1,2,2,0,0,0,0,1,0
flink,2,1,5,11,3,12,0,0,1,14,12,16,3,0,1,6,5,2
flockdb,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
forensics,1,0,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
gans,2,1,0,2,6,2,0,0,0,0,0,0,1,0,0,0,0,0
genetics,10,8,6,37,6,16,6,2,1,1,4,0,0,2,0,1,1,0
geography,6,0,4,5,13,3,0,0,0,0,0,8,0,0,0,0,0,0
geomodeling,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geopandas,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gert,0,3,6,4,0,3,0,0,0,1,0,0,2,0,0,1,1,0
ggplot,7,2,1,47,14,16,0,0,1,1,0,0,1,0,0,0,0,0
gitflow,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
github,17,1,20,52,10,20,1,0,1,8,3,8,3,0,0,1,0,0
gitlab,4,0,3,17,2,19,0,0,3,3,0,1,3,0,0,3,1,4
glove,0,0,0,1,2,1,0,0,0,0,0,0,2,2,0,0,0,0
glp,1,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
glue,1,3,2,14,1,3,0,2,0,13,4,10,0,0,1,0,1,0
hadoop,140,61,87,575,213,141,15,34,49,202,83,96,19,11,6,96,45,63
hive,74,41,44,221,93,92,12,14,29,94,41,59,7,7,1,50,29,51
html,47,7,34,69,16,11,5,0,0,29,8,4,4,0,0,7,4,2
infinityqs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
information technology,105,9,47,77,28,33,2,1,1,11,2,19,7,3,1,11,7,3
innodb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,196,53,92,540,185,133,15,29,30,167,73,72,28,13,10,77,33,33
kafka,27,21,15,97,30,29,1,3,11,103,38,68,6,1,1,65,19,38
keras,9,1,4,203,97,60,3,11,3,22,8,2,42,18,15,2,3,1
kubernetes,7,2,8,81,14,28,5,11,2,22,13,21,6,5,9,8,3,5
linux,37,15,25,150,49,50,1,4,6,83,29,19,13,4,3,25,12,7
math,569,167,310,1340,528,432,32,31,38,86,39,40,78,21,23,29,18,7
matlab,58,20,27,273,63,53,9,12,11,21,7,1,12,3,8,0,1,0
mlflow,0,0,0,4,1,1,0,0,0,0,1,0,1,0,1,0,0,0
mlib,4,0,2,15,10,2,0,0,0,0,0,0,0,0,0,0,0,0
mock,5,0,1,4,3,3,0,0,0,0,1,0,0,0,0,1,0,3
monetdb,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mongodb,22,14,16,115,35,28,4,2,5,39,15,26,8,8,4,7,6,5
mysql,54,8,26,110,25,37,0,1,0,21,10,18,7,2,1,11,7,4
netiq,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neurobiology,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neuroscience,3,0,2,7,4,12,0,0,0,0,0,0,1,0,4,0,0,0
nlp,26,13,18,251,177,115,3,1,4,23,10,3,65,26,16,0,0,1
nodejs,1,0,0,8,0,7,0,0,0,7,1,1,1,0,0,2,0,1
nosql,50,15,32,226,65,62,9,21,18,83,38,66,11,4,3,27,12,12
oauth2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oracle,108,47,49,80,17,16,0,2,11,34,14,18,10,0,0,8,5,6
phantomjs,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
pharmaceuticals,2,4,1,2,4,5,0,0,1,0,0,0,1,0,0,0,0,0
photoshop,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
physics,96,19,81,303,122,134,9,0,12,33,10,8,21,2,14,8,4,5
pipelinedb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
plotly,7,3,1,25,4,10,1,0,1,1,0,0,0,1,1,0,0,0
postgresql,26,5,20,58,25,21,0,1,4,20,4,14,3,0,1,6,5,2
powerbi,348,75,194,251,42,49,3,2,10,14,15,12,7,3,0,4,1,2
prestodb,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
