industry_v2,Big Data Developer Associate,Big Data Developer Entry level,Big Data Developer Senior,Consultant Associate,Consultant Entry level,Consultant Senior,Data Analyst Associate,Data Analyst Entry level,Data Analyst Senior,Data Engineer Associate,Data Engineer Entry level,Data Engineer Senior,Data Scientist Associate,Data Scientist Entry level,Data Scientist Senior,Machine Learning Engineer Associate,Machine Learning Engineer Entry level,Machine Learning Engineer Senior
Airlines/Aviation,0,0,0,0,0,0,1,4,0,1,2,1,2,0,2,0,0,0
Animation,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Apparel & Fashion,0,1,0,0,0,0,18,9,7,0,2,0,6,9,4,0,0,1
Architecture & Planning,2,3,0,0,0,0,0,4,0,4,2,0,0,6,1,0,1,0
Automotive,0,0,3,0,0,0,2,23,2,2,1,1,5,39,13,0,1,0
Aviation & Aerospace,0,0,0,0,0,0,4,12,2,0,5,0,0,10,4,0,1,1
Banking,4,9,4,0,0,1,47,101,19,6,12,3,30,54,32,0,6,2
Biotechnology,0,1,0,1,0,0,21,25,4,6,3,1,57,96,34,4,3,1
Broadcast Media,0,0,0,0,0,0,3,1,5,1,0,0,2,5,3,0,0,1
Building Materials,0,0,0,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0
Business Supplies and Equipment,0,0,0,0,0,0,0,4,1,1,0,0,1,3,1,0,0,0
Capital Markets,0,1,1,1,0,0,1,1,4,0,0,0,3,7,8,0,0,0
Chemicals,0,0,0,0,0,0,0,4,2,0,0,0,2,10,10,0,0,0
Civic & Social Organization,0,0,0,0,0,0,1,3,2,0,0,0,1,1,1,0,0,0
Civil Engineering,0,0,0,0,0,0,7,12,0,1,0,0,4,10,4,0,0,1
Commercial Real Estate,0,0,0,0,0,0,2,4,2,0,0,0,1,1,1,0,0,0
Computer & Network Security,17,8,5,3,0,1,5,21,11,6,14,3,17,64,10,0,3,1
Computer Games,0,2,0,0,0,0,11,21,8,0,0,1,4,19,13,0,1,1
Computer Hardware,0,0,0,1,0,1,0,5,3,0,1,3,3,2,5,1,0,1
Computer Networking,1,0,1,1,0,1,4,6,4,3,20,0,8,18,4,1,1,0
Computer Software,62,136,35,68,37,33,388,859,128,131,270,76,391,1616,384,26,143,19
Construction,0,0,0,0,0,0,15,62,1,0,3,0,5,56,11,0,0,1
Consumer Electronics,0,0,1,0,0,0,2,5,7,0,0,1,2,3,4,0,0,0
