1,Responsibilities
2,Requirements
4,Eligibility
20,Job Details
24,Qualifications
26,Key Functions
27,Essential Skills & Experience
33,About The Role
34,About You
36,About Us
47,The duties of the Data Analyst will include but not be limited to:
48,The Data Analyst will have: 
53,About the Role
54,What you will be doing:
56,Skills & Experience:
57,What you'll work on:
58,What you'll bring:
59,Nice to haves:
62,About the role
63,Key Responsibilities
64,Key Requirements
65,What we offer
66,Our Culture
71,Experience needed:
72, Security Requirements:   This role is in a Commonwealth Government environment and the client is limited to accepting Australian Citizenship only. 
73,Security Requirements: 
77,About The Opportunity
80,Why us?
81,Benefits
82,RESPONSIBILITIES:  
85,REQUIREMENTS:
89,To be successful in this role you will be able to demonstrate:
93,About the business
95,Skills and experience
96,As Part Of The Role You Will
97,To Be Successful You Will Have
99,Who are we?
113,Typical Responsibilities
114,Capabilities & Experience
115,Wellbeing & Benefits
125,WHAT'S IN IT FOR YOU?
139,Role Accountabilities
140,To be considered for this role you will have the below skills and experience:
141,About the Role:
142,Key accountabilities:
143,Required skills and experience: 
148,Here is what you do
149,This is what you look like
150,Innovative cutting edge technology
153,About The Client
154,The Role
155,Qualifications And Skills
156,How To Apply
160,About The Department
161,Specialist / Technical Expertise
170,About The Company.
171,About The Role.
172,DUTIES.
173,Skills & Experience.
175,Benefits.
176,How To Apply.
179,What are the accountabilities for this role?
180,To be considered for this role you will ideally possess the following;  
188,Essential Requirements
189,"To be successful in the role, ideally you will have:"
193,To Apply
194,Applications Close:
197,A DAY IN THE LIFE
198,ARE YOU A FIT?
199,OUR STORY
203,APPLY NOW
204,"Thank you, Torch Professional Services appreciates your interest."
205,About Us 
206,Why we have this role @ Koala
207,What key responsibilities does this role have @ Koala?
208,Ideal background…
209,Capabilities we look for…
210,Benefits...
211,What’s Next...
212,Qualifications: 
213,Qualifications:
214,Data Analyst.
215," 6 month contract with 2 x 3 month extension options.You Will Have The Following ExperienceMinimum three years’ experience with developing data visualisations in Power BI for analytical use casesDemonstrated experience in data analytics, data modelling, data mining. code optimisation and data integration techniquesStrong technical proficiency with programming /scripting/data wrangling skills such as R, python, scala, powershell, bashStrong technical proficiency writing complex SQL queries to manage. manipulate and automate complex data feeds to be leveraged for analytics based productsDemonstrated experience with databases/systems such as SAP, Teradata, Hadoop, MS SQL and graphing databases such as Neo4jAzure/AWS Cloud experience desirableTo have your application considered, you will:Be an Australian citizenHave an active Federal Government security clearanceIf this position sounds of interest to you, please APPLY NOW! For more information, please contact Aimee Goff on 02 6113 7520 or via email on aimee.goff @igniteco .com"
216,You Will Have The Following Experience
217,"To have your application considered, you will:"
218,The Company
219,Your Profile
220,Apply Today
221,"If you have made a positive commitment to further your career and you possess the above attributes then please apply to this role, if you require further information on this then please contact Data Talent  Australia on 1300 763 895 for a confidential chat."
222,"If you have made a positive commitment to further your career and you possess the above attributes then please apply to this role, if you require further information on this then"
223,please 
